xiaomi,ксиаоми|ксиэоми|ксайаомай|ксиауми|
adida,адида|эдидэ|адайда|
samsung,самсунг|сэмсунг|самсунджи|самсанг|
твой,твой|
apple,аппле|эппле|аппли|аппл|аппэлье|аппэле|
gloria jean,глуриа эан|глориа эан|глориэ ээн|глорайа эан|джилориа эан|гэльориа эан|гэлориа эан|
philip,филип|файлайп|фиэльип|фиэлип|
geox,геокс|гиокс|гокс|джиеокс|геукс|
sokolov,сокоэльов|сокоэлов|сукулув|соколов|
reima,реимэ|риима|рима|реайма|реима|
befree,бефри|бифри|бфри|
zarina,зарайна|зарина|зэринэ|
t taccardi,т тассарди|т таккардай|т таккарди|т тэккэрди|
reebok,рибок|рибук|
sela,сеэла|села|селэ|сила|сла|сеэльа|
asic,асик|эсик|асис|асайк|
playtoday,пэлайтодай|плайтудай|плаитодаи|плайтодай|плэйтодэй|пэльайтодай|
huggies,хаггиес|хуггиес|хуггиис|хуггис|хуггайес|худжиджииес|
zolla,зоэлэла|зулла|золла|золлэ|зоэльэльа|
polaris,поларис|полэрис|поларайс|поэльарис|поэларис|пуларис|
lego,лего|лиго|лго|леджио|эльего|элего|легу|
l oreal paris,л ореал парайс|эль ореаэль парис|эл ореаэл парис|л уреал парис|л ореал парис|л ореэл пэрис|л ориал парис|л орал парис|
tommy hilfiger,томмй хилфиджиер|томмй хиэльфигер|туммй хилфигер|томми хилфигер|томмй хилфигир|томмй хилфигр|томмй хайлфайгер|томмй хилфигер|томмй хиэлфигер|
oodji,удйи|удйай|
acoola,экулэ|асула|акуэльа|акуэла|акула|
bosch,боск|бош|босч|буск|
guess,гэсс|джиэсс|
эксмо,эксмо|
synergetic,сйнергетайк|сйнерджиетик|синергетик|сйнергетик|сйнергетис|сйниргитик|сйнргтик|
pamper,пампер|пэмпер|пампир|пампр|
brauberg,брауберг|брэуберг|браубирг|браубрг|брауберджи|брааберг|
s oliver,с оливир|с оливр|с олайвер|с оэльивер|с оэливер|с уливер|с оливер|
alessio nesca,элессио нескэ|алессайо неска|алиссио ниска|алссио нска|аэльессио неска|аэлессио неска|алессиу неска|алессио неска|алессио несса|
o stin,о стин|о стайн|у стин|
croc,крок|срос|крук|
maybelline new york,майбллин нв ёрк|майбеллайне нев ёрк|майбеэльэльине нев ёрк|майбеэлэлине нев ёрк|маибеллине нев ёрк|майбеллине нев ёрк|мэйбеллине нев ёрк|майбиллини нив ёрк|
omsa,омсэ|умса|омса|
pro plan,про пэльан|про пэлан|пру план|про план|про плэн|
premont,премонт|примонт|прмонт|премунт|
pull&bear,пулл&биар|пулл&бар|пуэльэль&беар|пуэлэл&беар|палл&беар|пулл&беар|пулл&беэр|
stradivarius,страдивариус|стрэдивэриус|страдайварайус|страдивариас|
фрутоняня,фрутоняня|
nike,ник|найке|нике|ники|
garny,гарнй|гэрнй|джиарнй|гарни|
o`shade,о`шаде|о`шэде|о`шади|о`шад|у`шаде|
hp,хп|
marks spencer,маркс спенкер|мэркс спенкер|маркс спенсер|маркс спинкир|маркс спнкр|
ecco,екку|екко|ессо|икко|кко|
estel professional,естеэл профессионаэл|естел пруфессиунал|естел профессионал|естел профессионэл|истил профиссионал|стл профссионал|естел профессайонал|естеэль профессионаэль|
lg,лг|лджи|эльг|элг|
